estacao=Natal (automatica) (9000553);;;;;;;;;;;;;;;;;;;;;;;
municipio=Natal (2408102);;;;;;;;;;;;;;;;;;;;;;;
latitude=-5,8333;;;;;;;;;;;;;;;;;;;;;;;
longitude=-35,2;;;;;;;;;;;;;;;;;;;;;;;
altitude=39,0m ;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
* variaveis calculadas pelo sistema ;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
data ; tMin ; tMin Estimada ; tMed ; tMed Estimada ; tMax ; tMax Estimada ; precipitacao ; precipitacao Estimada ; estiagem* ; estiagemAgricola* ; urMin ; urMin Estimada ; urMax ; urMax Estimada ; evapotranspiracaoPotencial ; radiacaoSolar ; velocidadeVento ; pontoOrvalhoMinimo ; pontoOrvalhoMaximo ; pressaoAtmMinima ; pressaoAtmMaxima ; evapotranspiracaoReal* ; disponibilidadeAguaSolo*
31/07/2017;20,8;não;23,7;não;26,6;não;8;não;0;3;72;não;97;não;2,24;12,38;4,4;20,3;23;1008,7;1012,6;2,24;100
30/07/2017;21;não;24,6;não;28,2;não;5,8;não;0;2;62;não;96;não;2,76;20,02;4,3;18,9;22,5;1009,4;1012,9;2,76;100
29/07/2017;21,5;não;24,3;não;27,1;não;1,8;não;0;1;63;não;94;não;2,32;14,57;5,3;19;22,5;1009,8;1012,6;2,32;99,48
28/07/2017;21,5;não;22,95;não;24,4;não;40;não;0;0;88;não;97;não;1,54;6,38;2,5;19,6;23,4;1008,4;1011,9;1,54;100
27/07/2017;21,1;não;24,4;não;27,7;não;6,2;não;0;6;62;não;94;não;2,57;10,48;3,2;19,3;22,8;1007,2;1010,2;2,57;100
26/07/2017;21,4;não;24,65;não;27,9;não;4,4;não;0;5;63;não;96;não;2,6;16,35;3,8;19,6;22,6;1007,9;1012,1;2,6;100
25/07/2017;21,5;não;25;não;28,5;não;1,6;não;0;4;65;não;94;não;2,8;20,88;3,8;19,9;22,9;1009,5;1013,1;2,79;98,54
24/07/2017;22,1;não;25,3;não;28,5;não;3,8;não;0;3;58;não;95;não;2,73;21,35;4;18,3;22,6;1011,1;1013,6;2,73;99,73
23/07/2017;22;não;25,15;não;28,3;não;2,6;não;0;2;70;não;94;não;2,67;20,52;2,9;20,5;23,3;1009,8;1013,2;2,67;98,66
22/07/2017;21,9;não;25,1;não;28,3;não;1,4;não;0;1;72;não;95;não;2,68;17,66;3,4;20,9;23,9;1009,2;1013;2,67;98,73
21/07/2017;22,2;não;24,65;não;27,1;não;28,8;não;0;0;76;não;97;não;2,24;8,2;3;21,6;23,9;1009;1012,4;2,24;100
20/07/2017;22,1;não;24,4;não;26,7;não;7,4;não;0;9;79;não;96;não;2,12;13,01;2,6;21,5;23,9;1009;1012,7;2,12;86,92
19/07/2017;23;não;25,7;não;28,4;não;0;não;7;8;66;não;88;não;2,58;15,69;3,1;20;23,1;1008,7;1012;2,14;81,64
18/07/2017;21;não;24,95;não;28,9;não;0;não;6;7;60;não;87;não;3,01;15,31;5,1;18,3;21,5;1008,9;1012,4;2,56;83,78
17/07/2017;22,6;não;25,55;não;28,5;não;0;não;5;6;49;não;89;não;2,66;15,21;4,9;16,3;21,2;1007,9;1010,9;2,33;86,34
16/07/2017;22,9;não;25,75;não;28,6;não;0;não;4;5;64;não;84;não;2,66;15,91;5,2;19,9;21,8;1008,2;1011;2,39;88,67
15/07/2017;22,6;não;25,45;não;28,3;não;0;não;3;4;62;não;86;não;2,59;17,38;5,2;18,9;21,5;1008,5;1011,2;2,38;91,06
14/07/2017;22,1;não;25,5;não;28,9;não;0;não;2;3;51;não;90;não;2,87;20,87;5;17,4;21,5;1008,5;1011,3;2,73;93,44
13/07/2017;20,7;não;24,55;não;28,4;não;0;não;1;2;60;não;89;não;2,86;20,3;3,1;18,8;21,6;1008,8;1011,6;2,79;96,17
12/07/2017;22,3;não;25,05;não;27,8;não;1,4;não;0;1;69;não;95;não;2,45;18,02;5,5;19;23,6;1008,8;1011,4;2,44;98,96
11/07/2017;22,1;não;23,45;não;24,8;não;46;não;0;0;82;não;97;não;1,58;1,54;4,2;21,2;22,9;1009,1;1012,4;1,58;100
10/07/2017;22,2;não;24,25;não;26,3;não;19,6;não;0;0;74;não;97;não;1,99;7,02;3,6;20,7;23,7;1008,5;1011,6;1,99;100
09/07/2017;22,4;não;24,55;não;26,7;não;11,2;não;0;0;74;não;96;não;2,09;12,9;2,7;19,7;23,8;1008,8;1011,6;2,09;100
08/07/2017;22,8;não;25,45;não;28,1;não;0;não;2;2;58;não;87;não;2,5;10,7;3,2;17,9;21,8;1008,1;1011,7;2,43;95,74
07/07/2017;22,3;não;25,05;não;27,8;não;0,6;não;1;1;68;não;92;não;2,45;13,11;3,9;19,5;23,9;1008;1012;2,43;98,17
06/07/2017;21,5;não;24,2;não;26,9;não;124;não;0;0;76;não;98;não;2,24;10,08;3,3;21,1;22,9;1008,7;1012,1;2,24;100
05/07/2017;22,5;não;25,55;não;28,6;não;0,2;não;4;4;69;não;93;não;2,71;10,92;4,2;20,6;22,8;1008,9;1012,1;2,48;90,01
04/07/2017;21,9;não;25,5;não;29,1;não;0;não;3;3;60;não;90;não;2,97;19,35;5,1;19,4;21,8;1009;1012,2;2,79;92,29
03/07/2017;23,1;não;25,85;não;28,6;não;0;não;2;2;61;não;89;não;2,63;13,14;3,3;19,4;22,3;1009,8;1012,5;2,53;95,08
02/07/2017;22,3;não;25,3;não;28,3;não;0,2;não;1;1;64;não;96;não;2,62;15,62;4,2;20,2;23,6;1008,6;1011,5;2,59;97,61
01/07/2017;22,4;não;23,45;não;24,5;não;66;não;0;0;95;não;97;não;1,48;1,55;1,6;21,8;23,8;1008,7;1012,1;1,48;100
30/06/2017;23,2;não;25,45;não;27,7;não;38,2;não;0;0;78;não;97;não;2,32;8,44;1;22;25,3;1008;1011,2;2,32;100
29/06/2017;23;não;25,9;não;28,8;não;7,4;não;0;1;75;não;96;não;2,72;15,6;2,8;22,1;25,4;1007,6;1010,6;2,72;100
28/06/2017;22,8;não;25,85;não;28,9;não;15;não;0;0;68;não;96;não;2,78;12,08;3,4;19,8;24,1;1008;1010,4;2,78;100
27/06/2017;23,1;não;26,15;não;29,2;não;0;não;2;2;62;não;89;não;2,85;12,53;4,8;19,2;22,6;1006,7;1009,2;2,73;94,5
26/06/2017;22,8;não;25,9;não;29;não;0;não;1;1;64;não;88;não;2,81;14,46;4,9;20,4;22,6;1006,7;1009,5;2,77;97,23
25/06/2017;21,7;não;23,5;não;25,3;não;40;não;0;0;80;não;96;não;1,75;6,04;3,6;20,8;23,1;1007;1010;1,75;100
24/06/2017;23;não;25,25;não;27,5;não;9,4;não;0;3;77;não;95;não;2,27;8,6;3;21,8;24,3;1006,9;1009,5;2,27;100
23/06/2017;22,8;não;25,8;não;28,8;não;4,2;não;0;2;73;não;94;não;2,74;10,22;2,8;20,5;24,6;1005,7;1008,5;2,74;98,47
22/06/2017;22,2;não;26,05;não;29,9;não;0,2;não;1;1;51;não;92;não;3,24;21,87;4,2;18,2;22,5;1005,2;1009,4;3,19;97,01
21/06/2017;23,3;não;26,35;não;29,4;não;19;não;0;0;66;não;95;não;2,9;16,9;3,9;21;24,8;1006,4;1009,5;2,9;100
20/06/2017;22,7;não;26,45;não;30,2;não;2,4;não;0;14;61;não;92;não;3,29;21,19;5,1;20,8;23,7;1006,5;1010;3,16;84,93
19/06/2017;23,2;não;26,05;não;28,9;não;1,8;não;0;13;66;não;93;não;2,73;17,55;4,2;21,4;24,7;1006,3;1009,4;2,6;85,69
18/06/2017;23,2;não;26,2;não;29,2;não;7,2;não;0;12;66;não;94;não;2,84;14,96;3;21;24,6;1005,2;1008,2;2,84;86,49
17/06/2017;23,2;não;26,7;não;30,2;não;0;não;2;11;58;não;92;não;3,22;20,37;3,3;20,3;22,9;1005,5;1009,3;2,68;82,13
16/06/2017;22,2;não;26,1;não;30;não;0;não;1;10;59;não;92;não;3,28;21,44;3,6;20,2;23,1;1007,4;1010,4;2,83;84,81
15/06/2017;22;não;26,4;não;30,8;não;3,8;não;0;9;59;não;93;não;3,64;16,97;2,4;20,4;23,5;1007;1010,2;3,64;87,64
14/06/2017;23,1;não;26,35;não;29,6;não;0,4;não;1;8;60;não;86;não;3;17,27;3;19,8;23,6;1007,1;1010,3;2,7;87,48
13/06/2017;22,9;não;26,05;não;29,2;não;6,6;não;0;7;69;não;95;não;2,88;16,42;2,3;21,7;25;1006,7;1010;2,88;89,78
12/06/2017;23,3;não;26,65;não;30;não;0;não;3;6;59;não;91;não;3,13;20,63;3,5;20,4;23,3;1007,6;1010,8;2,74;86,06
11/06/2017;25,8;não;27,85;não;29,9;não;0;não;2;5;63;não;84;não;2,78;20,48;4,6;21,5;23,9;1007,6;1010,2;2,5;88,8
10/06/2017;23,4;não;26,75;não;30,1;não;0;não;1;4;70;não;92;não;3,16;19,79;3,1;21,7;24,6;1007,2;1010,1;2,93;91,3
09/06/2017;24,1;não;26,95;não;29,8;não;2,8;não;0;3;69;não;94;não;2,95;17,32;6,2;22,3;24,8;1006;1009,2;2,94;94,23
08/06/2017;25,3;não;27,95;não;30,6;não;0,4;não;2;2;64;não;86;não;3,11;20,67;4;20,8;23,9;1005,1;1007,7;3;94,37
07/06/2017;24;não;27,05;não;30,1;não;0;não;1;1;59;não;92;não;3,08;19,34;4;20,7;23,7;1004,4;1008,1;3,03;96,97
06/06/2017;23,4;não;26,7;não;30;não;15,4;não;0;0;62;não;95;não;3,12;21,68;3,7;20,7;23,7;1005,6;1008,5;3,12;100
05/06/2017;22,8;não;26,15;não;29,5;não;2,6;não;0;6;65;não;92;não;3,01;18,99;3,3;21,3;24,5;1006,1;1009,8;2,99;96,42
04/06/2017;23,9;não;26,9;não;29,9;não;6,2;não;0;5;67;não;91;não;3,02;14,87;3,4;21,7;24,5;1006,4;1010,7;3,02;96,81
03/06/2017;23,9;não;27;não;30,1;não;0;não;1;4;68;não;94;não;3,1;20,95;3,4;22,8;24,7;1007,2;1010,3;2,95;93,63
02/06/2017;24,1;não;27,2;não;30,3;não;2;não;0;3;71;não;96;não;3,15;19,99;3,2;22,9;26,2;1007,5;1010,7;3,12;96,58
01/06/2017;24,3;não;27,1;não;29,9;não;3,6;não;0;2;69;não;96;não;2,97;17,17;2;22,9;25,6;1007,7;1010,8;2,97;97,7
31/05/2017;23,4;não;26,5;não;29,6;não;0;não;1;1;76;não;97;não;2,97;17,5;2,1;22,8;25,6;1006,7;1009,4;2,93;97,07
30/05/2017;22,2;não;24,7;não;27,2;não;15,4;não;0;0;76;não;96;não;2,27;7,08;2;21,1;23,9;1007,2;1011,1;2,27;100
29/05/2017;22,2;não;23,85;não;25,5;não;46,8;não;0;0;87;não;96;não;1,76;3,4;2,7;21,5;23,9;1007,3;1010,8;1,76;95,58
28/05/2017;24,5;não;26,95;não;29,4;não;1,8;não;0;21;70;não;94;não;2,76;16,11;3;22,7;24,9;1006,4;1009,8;2,28;50,54
27/05/2017;23,7;não;27,25;não;30,8;não;0;não;5;20;61;não;86;não;3,41;20,13;3,7;21,2;24,5;1005,9;1009,3;1,77;51,02
26/05/2017;24,1;não;27,25;não;30,4;não;0;não;4;19;65;não;91;não;3,2;17,25;3,5;21,9;24,3;1006,8;1009,6;1,72;52,79
25/05/2017;24,6;não;27,55;não;30,5;não;0;não;3;18;65;não;90;não;3,17;18,89;3,8;22,2;24;1006,6;1009,8;1,75;54,51
24/05/2017;23,3;não;26,9;não;30,5;não;0;não;2;17;59;não;91;não;3,35;22,38;3,8;20,9;23,9;1006,7;1009,8;1,92;56,26
23/05/2017;24,1;não;27,4;não;30,7;não;0;não;1;16;59;não;87;não;3,32;22,19;2,6;21;23,5;1006,1;1009,1;1,97;58,18
22/05/2017;24,4;não;27,55;não;30,7;não;1,4;não;0;15;61;não;94;não;3,28;21,63;3,1;21,5;23,9;1005,1;1008,6;2,54;60,15
21/05/2017;26,1;não;28,35;não;30,6;não;0;não;3;14;60;não;86;não;3,02;21;3,6;21,4;23,7;1006,1;1008,9;1,88;61,29
20/05/2017;25,1;não;27,9;não;30,7;não;0,2;não;2;13;64;não;90;não;3,19;21,1;4,3;22,1;24,2;1004,9;1008,4;2,11;63,17
19/05/2017;25,2;não;28,05;não;30,9;não;0;não;1;12;64;não;88;não;3,26;20,11;4,4;22;24,6;1003,7;1006,5;2,16;65,08
18/05/2017;27,1;não;28,9;não;30,7;não;1,4;não;0;11;69;não;89;não;2,93;20,19;3,3;23,2;25,7;1004,4;1007,8;2,44;67,24
17/05/2017;26,5;não;28,75;não;31;não;2,2;não;0;10;71;não;86;não;3,13;20,47;3,6;23,8;26;1005,3;1008,4;2,83;68,28
16/05/2017;26,8;não;28,85;não;30,9;não;0;não;4;9;67;não;82;não;3,05;21,74;2,5;23,2;24,9;1006;1009,1;2,14;68,91
15/05/2017;26,8;não;28,9;não;31;não;0;não;3;8;67;não;85;não;3,09;21,22;2;22,6;24,9;1006,9;1009,7;2,23;71,05
14/05/2017;24,5;não;27,5;não;30,5;não;0;não;2;7;65;não;91;não;3,2;21,82;2,9;22,2;24,7;1006,3;1009,4;2,38;73,28
13/05/2017;23,7;não;27,1;não;30,5;não;0;não;1;6;59;não;87;não;3,3;21,72;4,5;20,9;24;1005,9;1009,8;2,54;75,66
12/05/2017;24,4;não;27,6;não;30,8;não;2,2;não;0;5;56;não;91;não;3,33;22,14;3,7;20,2;24,7;1006,1;1008,7;3,09;78,2
11/05/2017;24,4;não;27,25;não;30,1;não;0;não;2;4;70;não;95;não;3,05;20,59;3,7;23;25,3;1004,5;1007,4;2,45;79,09
10/05/2017;24;não;27,15;não;30,3;não;0;não;1;3;69;não;96;não;3,19;21,11;2,5;22,9;25,3;1004,1;1008,4;2,64;81,54
09/05/2017;23,7;não;26,2;não;28,7;não;4,6;não;0;2;73;não;97;não;2,62;8,26;4,4;23;25,2;1004,2;1009,1;2,62;84,18
08/05/2017;24,3;não;26,3;não;28,3;não;3,8;não;0;1;80;não;97;não;2,42;8,41;3,1;23,2;25,4;1004,2;1007,5;2,42;82,2
07/05/2017;24;não;26,55;não;29,1;não;15,2;não;0;0;73;não;95;não;2,73;10;1,6;22,7;25,2;1003,9;1007,3;2,73;80,82
06/05/2017;23,9;não;27,3;não;30,7;não;0;não;2;6;68;não;92;não;3,37;15,93;3,9;22,7;24,7;1004;1007,6;2,34;68,35
05/05/2017;23,5;não;26,95;não;30,4;não;0,6;não;1;5;65;não;91;não;3,3;22,61;3,3;21,8;24,3;1004,5;1007,6;2,54;70,69
04/05/2017;23,9;não;26,65;não;29,4;não;7;não;0;4;75;não;96;não;2,86;15,38;4,7;22,1;25,4;1004;1007,8;2,86;72,63
03/05/2017;23,4;não;26,65;não;29,9;não;3,2;não;0;3;70;não;95;não;3,12;19,92;4,5;22,6;25,7;1005;1007,9;3,12;68,49
02/05/2017;23,7;não;25,5;não;27,3;não;2,2;não;0;2;72;não;93;não;2,16;10,55;3,2;20,3;24,1;1006;1008,7;2,16;68,41
01/05/2017;24;não;27,05;não;30,1;não;0;não;1;1;61;não;90;não;3,12;19,66;4,3;20,7;23,8;1005,4;1008,3;2,16;68,37
30/04/2017;23;não;25,8;não;28,6;não;12;não;0;0;71;não;98;não;2,68;10,78;1,9;22,5;25,6;1005,7;1009,7;2,68;70,53
29/04/2017;24,7;não;27,85;não;31;não;0,4;não;1;24;60;não;94;não;3,39;20,23;3,2;21,9;25,1;1004,7;1008,2;2,26;61,21
28/04/2017;25,3;não;28,15;não;31;não;3,4;não;0;23;70;não;94;não;3,31;19,37;5,1;23,5;26,4;1005,2;1008,3;3,31;63,07
27/04/2017;25;não;27,9;não;30,8;não;0;não;4;22;65;não;89;não;3,27;20,92;3,7;22,8;25,4;1004,9;1008,8;2,09;62,98
26/04/2017;24,3;não;27,6;não;30,9;não;0;não;3;21;59;não;91;não;3,41;23,38;4,1;21,4;24,3;1004;1007,7;2,26;65,07
25/04/2017;24,2;não;27,4;não;30,6;não;0,2;não;2;20;65;não;94;não;3,3;23,54;3,8;22,4;24,5;1003,9;1007,7;2,32;67,33
24/04/2017;26;não;28,5;não;31;não;0;não;1;19;64;não;84;não;3,22;16,2;3,2;22,1;24,8;1004,8;1009;2,27;69,45
23/04/2017;24,9;não;27,1;não;29,3;não;4,2;não;0;18;76;não;94;não;2,71;12,41;3,9;23,1;25,2;1004,7;1009,3;2,71;71,72
22/04/2017;23,9;não;26,8;não;29,7;não;0,2;não;3;17;71;não;96;não;2,99;17,49;2,5;23,1;25,8;1005,3;1009,1;2,19;70,23
21/04/2017;24;não;27,3;não;30,6;não;0;não;2;16;65;não;90;não;3,34;24,37;4,3;22,2;24,9;1004,3;1007,4;2,45;72,22
20/04/2017;23,9;não;27,3;não;30,7;não;0;não;1;15;57;não;86;não;3,39;24,84;4;20,4;23,6;1003,4;1007,3;2,57;74,67
19/04/2017;23,9;não;27,15;não;30,4;não;1,4;não;0;14;65;não;93;não;3,27;18,63;5;22,1;25,2;1003,5;1007,3;2,86;77,24
18/04/2017;23,9;não;27,55;não;31,2;não;0;não;3;13;59;não;93;não;3,61;25,23;4,1;21,5;24,3;1004,1;1007,2;2,9;78,7
17/04/2017;24,4;não;27,75;não;31,1;não;0,6;não;2;12;67;não;94;não;3,5;24,42;3,3;23;25,7;1004;1007,2;3;81,6
16/04/2017;24,7;não;27,75;não;30,8;não;0;não;1;11;62;não;92;não;3,33;15,84;3,7;22;24,3;1003,5;1007,1;2,84;84
15/04/2017;25,2;não;27,95;não;30,7;não;1;não;0;10;67;não;93;não;3,22;17,08;4,6;23,2;25,5;1004,5;1007,9;2,95;86,84
14/04/2017;24,7;não;27,7;não;30,7;não;7,6;não;0;9;69;não;95;não;3,29;20,45;4,5;23,2;26;1004,4;1007,3;3,29;88,79
13/04/2017;25,2;não;27,6;não;30;não;5,6;não;0;8;64;não;92;não;2,95;12,68;4,3;21,8;25,5;1004,3;1008,1;2,95;84,48
12/04/2017;24,3;não;27,5;não;30,7;não;1,8;não;0;7;68;não;94;não;3,35;24,41;2,7;23,2;25,1;1003,7;1007,6;3,08;81,83
11/04/2017;23,6;não;26,35;não;29,1;não;2,2;não;0;6;73;não;97;não;2,81;17,93;1,7;23;26,1;1004,2;1007,7;2,71;83,11
10/04/2017;24,7;não;26,5;não;28,3;não;3,8;não;0;5;76;não;93;não;2,4;11,3;1,6;22,7;25,7;1003,7;1007,2;2,4;83,62
09/04/2017;24,5;não;27,85;não;31,2;não;3,2;não;0;4;65;não;92;não;3,54;20,41;3,6;21,5;25,2;1003,2;1006,1;3,48;82,22
08/04/2017;24,6;não;28;não;31,4;não;0;não;3;3;62;não;88;não;3,61;23,67;4,2;22,1;24,4;1003,2;1006,8;3,03;82,5
07/04/2017;24;não;27,6;não;31,2;não;0;não;2;2;55;não;91;não;3,62;25,66;4,7;20,4;24,1;1003,6;1007,3;3,15;85,53
06/04/2017;24,5;não;27,65;não;30,8;não;0;não;1;1;66;não;93;não;3,38;19,59;3,5;22,5;25,1;1005,1;1008,8;3,05;88,68
05/04/2017;22,2;não;26,6;não;31;não;15,8;não;0;0;67;não;94;não;3,8;18,94;5,3;21;26,1;1005,5;1008,6;3,8;91,73
04/04/2017;25,3;não;28,55;não;31,8;não;1,8;não;0;11;62;não;91;não;3,7;24,21;3;21,9;25,2;1003,8;1007,2;3,33;79,73
03/04/2017;26,5;não;29,15;não;31,8;não;0;não;2;10;63;não;87;não;3,52;23,97;4,4;22,3;24,7;1004;1007;2,91;81,26
02/04/2017;23,5;não;26,7;não;29,9;não;0,8;não;1;9;67;não;95;não;3,15;17,08;3,6;21,9;24,4;1003,9;1008,8;2,8;84,17
01/04/2017;23,9;não;27,6;não;31,3;não;6,8;não;0;8;60;não;93;não;3,69;18,45;1,5;21,9;24,5;1005,5;1008,1;3,69;86,17
31/03/2017;25,7;não;28,35;não;31;não;1,6;não;0;7;70;não;94;não;3,3;17,22;4,3;23,8;26,5;1004,6;1007,8;3,02;83,06
30/03/2017;26,7;não;29,05;não;31,4;não;0,2;não;1;6;69;não;90;não;3,33;22,18;3,4;23,6;26;1003,4;1006,9;2,89;84,48
29/03/2017;25,1;não;28,1;não;31,1;não;1,2;não;0;5;69;não;89;não;3,43;19,76;2,3;23;27,1;1003,3;1007,2;3,17;87,17
28/03/2017;26,8;não;29,2;não;31,6;não;0,4;não;2;4;63;não;85;não;3,41;24,9;2,5;22,3;24,9;1005;1008,2;3,12;89,14
27/03/2017;27,4;não;29,4;não;31,4;não;0;não;1;3;62;não;82;não;3,24;23,29;3,8;22,2;24,6;1005;1008,3;3,03;91,86
26/03/2017;24,6;não;27,7;não;30,8;não;1,2;não;0;2;67;não;89;não;3,38;23,99;3,2;21,5;25,8;1003,9;1007,6;3,29;94,89
25/03/2017;24,8;não;27,7;não;30,6;não;0,2;não;1;1;67;não;93;não;3,27;24,19;3,8;23;25,2;1004,1;1007,5;3,22;96,98
24/03/2017;24,1;não;27,15;não;30,2;não;11;não;0;0;68;não;94;não;3,2;19,27;3,5;22,2;24,9;1004,6;1007,6;3,2;100
23/03/2017;24,2;não;26,4;não;28,6;não;25,8;não;0;0;76;não;95;não;2,59;10,25;3,3;22,8;25,2;1004,2;1008,9;2,59;98,22
22/03/2017;25,4;não;28,2;não;31;não;0,4;não;2;10;62;não;91;não;3,36;21,04;3,7;21,4;25,4;1005,2;1008,8;2,66;75,01
21/03/2017;24,7;não;27,9;não;31,1;não;0;não;1;9;66;não;91;não;3,5;23,39;3,9;22,6;25,3;1005,6;1009,1;2,75;77,27
20/03/2017;25,9;não;28,6;não;31,3;não;1;não;0;8;63;não;87;não;3,42;24,93;3,4;22,1;25,3;1005,6;1008,9;2,96;80,02
19/03/2017;24,7;não;27,75;não;30,8;não;0;não;3;7;66;não;89;não;3,38;26,34;4,2;22,4;24,9;1005,2;1008,7;2,82;81,98
18/03/2017;24,2;não;27,55;não;30,9;não;0;não;2;6;60;não;90;não;3,49;26,55;2,4;21,1;23,9;1005,6;1008,4;3,01;84,8
17/03/2017;26,2;não;28,65;não;31,1;não;0;não;1;5;59;não;83;não;3,3;25,47;2,7;21,3;24,4;1004,6;1007,6;2,95;87,81
16/03/2017;24,9;não;27,85;não;30,8;não;6,4;não;0;4;68;não;94;não;3,36;20,97;2,3;23,2;26,4;1003,3;1007,1;3,36;90,76
15/03/2017;24,9;não;27,85;não;30,8;não;0;não;3;3;66;não;88;não;3,36;22,76;3,2;21,7;24,5;1003,4;1006,9;3;87,72
14/03/2017;25,2;não;27,8;não;30,4;não;0;não;2;2;65;não;87;não;3,15;25,6;3,1;21,4;24,7;1003,5;1007,6;2,9;90,72
13/03/2017;23,9;não;27,1;não;30,3;não;0;não;1;1;66;não;94;não;3,29;24,09;3,4;22,2;24,8;1003,5;1006,9;3,13;93,62
12/03/2017;23,8;não;26,55;não;29,3;não;11,4;não;0;0;67;não;95;não;2,91;17,08;2,1;22,1;24,6;1004;1006,9;2,91;96,75
11/03/2017;24,8;não;27,4;não;30;não;0;não;3;8;61;não;87;não;3,05;14,16;3,7;21,3;24,2;1003,4;1006,4;2,73;88,26
10/03/2017;27;não;28,95;não;30,9;não;0;não;2;7;64;não;82;não;3,12;24,58;3,3;22,6;24,2;1003,6;1006,4;2,89;90,99
09/03/2017;24,9;não;27,85;não;30,8;não;0,4;não;1;6;63;não;90;não;3,37;16,13;4,8;22,5;25,6;1003,2;1006,3;3,23;93,88
08/03/2017;24,7;não;27,7;não;30,7;não;8,4;não;0;5;64;não;93;não;3,36;24,7;4;22,3;25,1;1003,4;1007,2;3,36;96,71
07/03/2017;24,6;não;27,75;não;30,9;não;4,2;não;0;4;67;não;93;não;3,46;19,19;3,9;22,7;25,4;1003,8;1007;3,46;91,67
06/03/2017;26,4;não;28,45;não;30,5;não;0;não;3;3;68;não;83;não;3,05;19,76;3,4;22,4;25,3;1003,2;1006,8;2,81;90,93
05/03/2017;26,8;não;28,85;não;30,9;não;0;não;2;2;64;não;80;não;3,15;25,09;3,9;22,2;24,7;1002,6;1005,6;3;93,74
04/03/2017;24,5;não;27,5;não;30,5;não;0;não;1;1;65;não;92;não;3,31;24,55;4,2;22,3;24,8;1003,2;1007,2;3,26;96,74
03/03/2017;23,9;não;27,2;não;30,5;não;25,8;não;0;0;66;não;96;não;3,39;24,35;3,8;22,7;25,1;1005,1;1008,8;3,39;100
02/03/2017;23,8;não;26,45;não;29,1;não;44,8;não;0;0;76;não;95;não;2,85;6,62;1,8;22,2;26,2;1004,2;1007,3;2,85;100
01/03/2017;24,7;não;27,85;não;31;não;0;não;1;1;68;não;92;não;3,5;22,16;4,3;23,2;25,4;1002,7;1005,6;2,18;61,13
28/02/2017;24,5;não;27,4;não;30,3;não;10,4;não;0;0;72;não;92;não;3,23;12,67;3;22,2;26,2;1003,7;1007,3;3,23;63,31
27/02/2017;25,6;não;27,9;não;30,2;não;1,2;não;0;3;72;não;89;não;3,04;15,77;3;21,8;25,6;1003,7;1007,2;2,24;56,14
26/02/2017;22,4;não;26,7;não;31;não;4,6;não;0;2;61;não;91;não;3,84;26,14;4;19,1;24,5;1003,8;1007,6;3,84;57,18
25/02/2017;24,1;não;27,35;não;30,6;não;0;não;1;1;64;não;91;não;3,42;26,98;4,2;22,2;24,4;1003,6;1007,2;1,96;56,42
24/02/2017;24,1;não;26,55;não;29;não;10,4;não;0;0;70;não;94;não;2,78;8,46;3,8;22,2;24,7;1004,6;1007,9;2,78;58,38
23/02/2017;24,3;não;27,4;não;30,5;não;2;não;0;5;63;não;91;não;3,35;22,73;5,9;21,8;25,2;1004,4;1008;2,69;50,76
22/02/2017;25,3;não;28,1;não;30,9;não;0;não;3;4;61;não;84;não;3,38;26,07;5;21,1;24;1004,7;1007,7;1,77;51,45
21/02/2017;26,3;não;28,6;não;30,9;não;0;não;2;3;63;não;84;não;3,24;25,76;3,7;22,2;24;1005;1008;1,75;53,22
20/02/2017;24,9;não;27,85;não;30,8;não;0,6;não;1;2;67;não;90;não;3,4;24,16;3,8;22,6;25,3;1005,2;1008,5;2,16;54,97
19/02/2017;24,2;não;27,1;não;30;não;3;não;0;1;69;não;93;não;3,16;18,36;3,7;21,6;25,7;1005,3;1009,1;3,09;56,53
18/02/2017;23,7;não;26,65;não;29,6;não;14,6;não;0;0;71;não;94;não;3,07;20,65;3,4;22,1;25;1005,1;1008,7;3,07;56,62
17/02/2017;24,5;não;27,65;não;30,8;não;0;não;5;5;59;não;89;não;3,46;26,23;4,3;21;24,1;1004,6;1007,8;1,58;45,09
16/02/2017;24,2;não;27,45;não;30,7;não;0;não;4;4;62;não;87;não;3,46;25,66;4,8;21,5;24;1005,1;1009;1,65;46,67
15/02/2017;24,7;não;27,95;não;31,2;não;0;não;3;3;51;não;87;não;3,61;24,01;5,7;19,6;23,3;1006,1;1009;1,77;48,32
14/02/2017;26,5;não;28,7;não;30,9;não;0,8;não;2;2;67;não;85;não;3,22;19,09;6,3;22,6;25;1004,6;1008;2,03;50,09
13/02/2017;26,7;não;28,8;não;30,9;não;0;não;1;1;61;não;79;não;3,2;21,12;4,2;21,8;23,6;1002,9;1006;1,67;51,32
12/02/2017;23,1;não;26,4;não;29,7;não;10,6;não;0;0;63;não;93;não;3,2;13,54;3;20,5;24,2;1003;1006,2;3,2;52,99
11/02/2017;27,1;não;29,1;não;31,1;não;0;não;11;11;63;não;81;não;3,23;21,62;4,7;22,3;24,2;1002,3;1006,1;1,5;45,59
10/02/2017;27;não;29,15;não;31,3;não;0;não;10;10;66;não;83;não;3,33;23,49;4,8;23,2;24,8;1003;1006,5;1,59;47,09
